Latitude,Longitude,Altitude ,Distance,Pitch angle,Velocity,Time(secs)
442760086,-940902735,5,121,-234,183,4675
20.966455,-120.516857,10389.1,1657.068,-21,916,1558
25.50172,-120.51714,2108.02,1154.683,-78,886,1112
22.642665,-120.51675,10304.05,1471.594,52,893,1406
17.96501,-120.51648,1276.59,1988.863,39,917,1910
31.828877,-120.415296,10414.81,450.623,-79,908,444
442760087,-940902736,5,101,-234,121,3425
442760087,-940902744,5,132,-234,113,660
442760087,-940902744,5,101,-236,113,580
37.39732569,124.9919789,899,1020,-383.1785714,7.62338212,1023.5
29.069181,-120.516954,10418.18,759.9474,-15,881,702
38.90612964,127.6377087,136,1303,-157.3928571,8.708522055,587.5
53.36873674,-113.6556783,705.52,309,271,77.48,756
53.63201132,-113.5603917,715.23,249,67.2,69.95,921
37.52823971,124.7935865,1146,628,-382.1428571,7.628359826,1021.5
38.64525466,124.5386456,1317,1246,-576.8571429,6.692551074,1397.5
24.031849,-120.516719,7861.47,1317.749,-46,902,1276
38.7116895,126.6690906,280,743,-283.75,8.101241907,831.5
442760087,-940902738,3,200,-230,129,1890
442760087,-940902737,1,143,-234,151,3430
53.66935798,-113.3571853,695.14,324,149.7,70.8,456
40.0368,128.1839,0,0,48,12,209.5
442760088,-940902737,5,152,-235,153,3210
442760087,-940902738,4,117,-231,123,1795
37.76523411,128.0888091,336,847,-532.3214286,6.906592438,1311.5
53.39503535,-113.350798,773.29,223,274.7,70.76,1626
53.41553155,-113.6663292,648.22,288,178.8,67.65,57
442760089,-940902746,1,185,-227,100,10
21.253797,-120.517238,10392.86,1625.272,29,909,1532
53.67375831,-113.3429762,702.16,255,2.2,76.22,2148
53.50991855,-113.7294424,739.11,362,200.1,75.9,315
53.58950107,-113.3360627,658.73,342,31,72.31,453
442760086,-940902736,4,183,-236,163,4445
53.40541491,-113.638994,710.63,287,85.7,45.04,1335
53.43509231,-113.4251949,745.96,369,89.8,71.24,2067
39.1677,127.4817,195,586,-27,9,167.5
442760087,-940902737,1,121,-233,139,3265
53.41478988,-113.3813298,780.41,259,170.2,60.29,1380
39.50633544,126.0339809,698,1049,-124.25,8.867808651,523.5
39.40167,127.5369,195,586,-90,9,137.5
39.85432633,128.3096428,796,1223,-220.5714286,8.404881981,709.5
17.545674,-120.516973,3717.61,2035.342,31,906,1964
442760088,-940902737,2,149,-232,119,3090
442760087,-940902737,3,130,-233,165,3130
53.41878245,-113.6650004,651.91,327,0.4,73.22,2964
53.41434624,-113.665873,654.9,388,184.2,71.45,2502
442760087,-940902737,6,129,-231,188,3515
39.46535927,128.6869508,274,1039,-646.25,6.359044764,1531.5
53.65868098,-113.4306712,700.9,242,354.8,52.95,2925
53.60022852,-113.2592777,690.7,261,298.7,88.49,657
442760087,-940902737,5,169,-232,183,3020
34.191786,-118.320577,5516.33,105.4329,-48,905,138
442760087,-940902743,3,117,-235,115,700
53.37704963,-113.4116092,743.74,230,91.3,63.21,1308
23.34078,-120.517145,9413.19,1394.267,80,914,1342
442760086,-940902736,2,166,-233,171,4500
38.99083,127.6236,150,586,34,6,49.5
32.47972,-119.585773,9964.25,344.0483,-22,884,354
53.6165681,-113.5858194,728.14,387,98.8,79.71,1539
442760087,-940902737,4,176,-232,163,3615
53.46430425,-113.754024,729.92,300,308.8,75.57,1542
53.57644273,-113.2822757,684.52,328,2.2,72.43,1566
53.66729676,-113.3372196,687.59,277,1,73.7,690
53.66858775,-113.3251249,684.63,253,0,80.46,636
442760088,-940902736,5,136,-230,146,2185
53.52862316,-113.7182838,744.36,255,271.8,72.11,1923
38.68842518,126.1209418,725,597,-366.6071429,7.703025418,991.5
442760087,-940902737,5,100,-231,118,2340
37.85161349,128.2160106,948,921,-750.8571429,5.856296446,1733.5
442760086,-940902735,1,190,-233,153,4655
26.238735,-120.516758,1334.26,1072.994,9,905,998
53.47006106,-113.3251507,742,390,272.3,64.36,2154
442760086,-940902740,5,186,-234,161,1310
38.51361158,124.9519762,1212,950,-751.8928571,5.851318739,1735.5
38.84571803,127.3041782,802,956,-128.3928571,8.847897826,531.5
27.776189,-120.516714,9383.12,903.1008,25,880,822
53.38855978,-113.4453424,724,305,1.5,71.21,1443
22.887931,-120.517156,10019.65,1444.429,21,920,1384
32.234469,-119.899032,10290.31,384.2069,-62,918,388
38.77159468,128.9319277,886,586,-14.46428571,9.3954455,311.5
38.78743588,124.7452998,909,1314,-531.2857143,6.911570144,1309.5
40.8499966,129.666664,195,586,-6,12,3.5
39.94987634,124.5320363,803,782,-271.3214286,8.160974381,807.5
53.68676585,-113.3599683,715.17,269,271.7,101.21,1662
39.86366643,127.7160124,242,561,-445.3214286,7.324719752,1143.5
53.43061949,-113.3049277,768.57,276,244.3,98.22,2841
22.044711,-120.517111,10394.35,1537.737,88,906,1460
442760087,-940902738,2,175,-231,119,1830
21.650158,-120.516912,10388.37,1581.401,2,904,1496
442760087,-940902736,1,145,-231,132,2255
53.45965852,-113.7608189,726.56,327,283.2,68.06,642
442760089,-940902746,6,155,-227,183,100
442760086,-940902741,3,199,-231,158,1015
53.38358342,-113.3816308,735.1,371,285.7,70,633
29.794449,-120.516692,10423.11,679.6223,9,917,636
37.92668703,126.2532796,709,1350,-423.5714286,7.429251581,1101.5
19.906282,-120.516994,7476.08,1774.215,-6,899,1656
442760088,-940902736,6,119,-234,169,2910
442760087,-940902742,2,102,-231,177,955
442760089,-940902746,3,195,-228,156,140
53.42402799,-113.70426,724.1,384,270.6,84.95,1338
442760085,-940902735,2,166,-230,130,4870
28.418936,-120.516933,10418.3,831.953,-50,890,762
442760087,-940902737,1,177,-232,157,3680
38.63525013,127.8224948,1019,689,-490.8928571,7.105700683,1231.5
53.70348347,-113.541284,701.19,357,162,92.9,1401
37.09647048,127.9076964,824,556,-52.78571429,9.211270373,385.5
33.612052,-118.390735,6934.85,170.188,-44,883,202
442760088,-940902746,2,150,-228,115,180
39.0178883,126.3864918,950,500,-69.35714286,9.131627075,417.5
442760086,-940902736,5,115,-233,185,4315
33.726117,-118.377319,6681.74,157.4537,65,900,190
38.86681247,126.4123341,187,1069,-267.1785714,8.180885205,799.5
53.40244447,-113.3060683,764.15,327,176,68.45,2538
37.11358085,125.1322621,1257,1233,-710.4642857,6.050426984,1655.5
442760087,-940902737,3,195,-230,100,2270
442760088,-940902746,1,166,-228,188,185
38.63546655,127.99316,102,1379,-364.5357143,7.71298083,987.5
17.510945,-120.51723,3863.91,2039.193,-58,915,1968
39.91963363,126.5073275,1176,571,-321.0357143,7.922044487,903.5
39.24204595,126.5371677,1273,1315,-238.1785714,8.320260977,743.5
53.41348686,-113.3072974,774.55,267,0.2,83.34,1503
39.29194959,127.6735273,1380,632,-330.3571429,7.877245132,921.5
442760087,-940902737,2,188,-231,112,3580
39.27722704,125.3646295,493,513,-173.9642857,8.628878757,619.5
442760087,-940902736,2,100,-233,131,3815
38.10039675,126.0443136,1202,693,-302.3928571,8.011643197,867.5
53.66310445,-113.2757013,633.66,341,189.6,92.48,1233
38.91812916,125.4451356,822,1285,-117,8.902652593,509.5
442760087,-940902736,3,154,-233,142,3780
28.26765,-120.517098,10419.2,848.7129,-6,899,776
442760086,-940902737,3,153,-231,156,4080
25.802024,-120.516814,880.34,1121.349,-80,907,1066
442760088,-940902737,2,157,-232,140,3060
38.686834,125.702005,195,1000,-41,11,179.5
53.62371631,-113.3783549,674.51,375,183.8,75.66,2124
37.63892239,127.9153461,742,1059,-470.1785714,7.205254805,1191.5
442760087,-940902736,6,125,-232,173,3865
39.43634844,124.8655734,446,1280,-344.8571429,7.807557246,949.5
53.64878051,-113.3678927,678.97,316,183.3,75.93,1911
24.93115,-120.51683,4829.41,1218.071,18,905,1184
29.926348,-120.51684,10418.9,665.0185,54,920,624
442760088,-940902736,6,195,-234,182,2935
25.143656,-120.516743,3936.82,1194.504,86,893,1160
18.288714,-120.517058,183.38,1952.978,17,884,1862
27.839031,-120.516952,9695.06,896.1612,44,880,816
442760087,-940902744,2,199,-233,112,570
39.22546054,125.2089658,778,1225,-328.2857143,7.887200544,917.5
27.90263,-120.517192,10010.06,889.1246,0,884,810
20.414254,-120.516676,9986.68,1718.154,-8,903,1608
32.65005,-119.367052,9739.3,316.0908,-4,892,330
442760086,-940902735,3,101,-235,187,4580
30.21102,-120.517068,10421.16,633.4704,-78,917,598
53.64515803,-113.3544117,695.94,389,127.7,81.4,2130
26.133884,-120.517217,894.77,1084.601,43,913,1014
53.38519348,-113.566681,721.99,249,153.4,110.12,1620
39.80235661,126.0507825,1187,511,-650.3928571,6.33913394,1539.5
19.029448,-120.516821,2720.84,1871.067,-83,908,1758
37.05658244,127.3712628,1280,586,-41.39285714,9.26602514,363.5
442760087,-940902737,1,193,-232,115,2390
34.020466,-118.341617,5856.08,124.6138,-62,891,158
53.40033937,-113.3489713,776.52,365,72.4,82.72,2529
26.084934,-120.516974,838.93,1090.004,90,894,1022
442760088,-940902737,1,101,-232,131,3085
53.39390436,-113.4373214,723.41,268,181.8,81.04,540
442760086,-940902735,2,104,-235,172,4720
442760087,-940902744,1,145,-233,129,420
53.39106051,-113.3348045,756.7,207,269.1,78.65,2049
20.130335,-120.51713,8561.51,1749.533,25,888,1634
53.60828485,-113.2789712,651.32,302,0.9,65.21,519
37.73802924,125.2050194,707,1157,-180.1785714,8.59901252,631.5
22.530353,-120.516942,10424.71,1484.027,-1,902,1416
442760086,-940902742,1,117,-236,126,830
34.44699,-118.063199,3756.33,67.88617,43,908,96
38.2069755,126.7919989,104,505,-484.6785714,7.135566919,1219.5
53.37666719,-113.3839219,747.09,249,192,82.63,2022
442760086,-940902736,4,161,-234,182,4540
25.056227,-120.517182,4309.21,1204.206,72,902,1170
53.69304764,-113.4325888,694.33,269,48.2,78.77,696
24.419272,-120.517174,6749.89,1274.832,-87,892,1238
442760089,-940902746,2,106,-227,135,105
442760086,-940902736,2,199,-234,175,4215
25.160848,-120.517235,3880.75,1192.583,-68,897,1158
53.39089883,-113.3356158,764.7,225,87.4,76.15,60
53.62960726,-113.572258,720.99,288,42,49.05,2355
28.61343,-120.516747,10419.32,810.4169,-80,909,744
442760086,-940902735,2,174,-233,180,4660
40.8499966,129.666664,200,586,13,14,9.5
442760087,-940902737,2,103,-232,111,3725
53.41278306,-113.4218282,751.58,369,185.2,53.47,264
39.13682305,126.4606077,36,722,-459.8214286,7.255031866,1171.5
442760088,-940902744,5,177,-232,130,345
442760087,-940902737,1,100,-230,109,3970
22.263881,-120.517241,10394.83,1513.482,75,897,1440
20.173317,-120.517157,8779.4,1744.787,11,902,1630
39.66724403,124.5650959,1170,1123,-424.6071429,7.424273875,1103.5
38.05126217,126.5186428,1192,519,-755,5.836385621,1741.5
37.22324148,125.789536,1263,919,-222.6428571,8.394926569,713.5
442760087,-940902737,4,185,-230,109,3965
30.861144,-120.516941,10418.94,561.433,-50,894,538
442760088,-940902736,4,181,-234,104,2940
31.585319,-120.516967,10416.22,481.1816,-64,887,470
442760088,-940902737,4,181,-232,162,3000
32.997781,-118.916151,8846.58,258.8407,35,885,280
53.67802425,-113.5177109,726.52,257,239.1,88.26,2400
53.64101234,-113.2676704,636.58,254,83.1,77.2,231
442760087,-940902736,5,175,-233,126,4135
39.11283953,125.8104785,350,807,-298.25,8.031554022,859.5
442760087,-940902737,2,175,-230,187,2035
442760086,-940902741,4,194,-231,129,1010
442760087,-940902737,4,160,-232,108,3490
442760086,-940902739,1,187,-232,163,1455
442760086,-940902738,1,192,-233,165,1570
19.829761,-120.516813,7100.4,1782.655,55,910,1664
33.205251,-118.643362,8114.39,224.4664,90,884,250
442760088,-940902737,3,178,-230,169,2000
22.709925,-120.516777,10224.86,1464.153,50,882,1400
37.9562998,126.0553899,1033,200,-19.64285714,9.370556969,321.5
442760088,-940902737,4,116,-235,109,3215
39.99956152,127.5545944,573,586,-59,9.181404136,397.5
53.38708406,-113.5140045,720.95,334,202,76.18,2820
39.75553767,126.5167843,1244,1201,-791.25,5.662165907,1811.5
39.75937068,127.7716005,1358,1344,-796.4285714,5.637277376,1821.5
23.762156,-120.517275,8561.8,1347.597,37,913,1302
30.580661,-120.516848,10418.99,592.5131,-11,906,564
37.08871967,124.328004,187,1203,-515.75,6.986235736,1279.5
442760087,-940902736,2,179,-235,177,3395
53.41680193,-113.6668213,652.38,231,179.1,74.15,2160
38.05870227,124.4702783,225,1106,-134.6071429,8.818031589,543.5
442760087,-940902737,2,136,-234,152,3360
38.31922498,127.1775195,819,1065,-479.5,7.16045545,1209.5
53.68281807,-113.3663521,694.25,350,281.4,73.88,1761
39.36345891,125.5242298,1270,1233,-161.5357143,8.68861123,595.5
23.510135,-120.517058,9083.74,1375.519,27,908,1326
53.6182318,-113.5678538,700.95,376,296.5,63.58,855
32.364703,-119.73301,10118.66,362.9025,-86,903,370
442760088,-940902737,6,102,-232,144,2945
442760087,-940902744,4,126,-232,163,405
442760087,-940902742,2,142,-235,136,875
27.49845,-120.517165,7895.22,933.7715,79,887,850
20.767691,-120.517149,10390.14,1679.05,-31,891,1576
53.6608089,-113.5616058,720.72,297,94.6,82.37,2766
37.9382,126.5878,120,500,61,6,105.5
53.38864516,-113.3406431,750.9,224,269.1,62.49,909
53.37434619,-113.572772,714.82,255,271,79.04,2574
442760086,-940902742,6,157,-232,150,920
53.68198472,-113.3444818,708.19,307,180.5,75.66,552
442760087,-940902736,2,107,-230,129,2110
53.40192928,-113.3751133,748.28,325,270.9,75.52,2481
442760087,-940902737,5,178,-233,113,3955
38.42750887,126.7640073,321,586,1.071428571,9.470111092,281.5
40.8499966,129.666664,0,586,-3,12,21.5
32.872351,-119.079367,9217.35,279.5101,39,907,298
39.11716215,127.6082655,1181,586,7.285714286,9.499977328,269.5
34.629899,-118.134193,980.13,2.98259,56,885,8
53.56156857,-113.333518,694.76,321,0.2,80.02,2388
39.83067925,124.860518,1322,835,-168.7857143,8.653767287,609.5
28.37571,-120.517109,10417.82,836.7379,-90,902,766
37.25397103,127.7090864,1372,828,-575.8214286,6.697528781,1395.5
39.76728714,125.7496425,426,500,30.07142857,9.609486863,225.5
53.66510488,-113.255465,649.12,289,81.5,79.42,2007
19.506476,-120.517126,5289.1,1818.381,-8,911,1700
26.479107,-120.517144,2327.27,1046.446,29,898,964
53.65627557,-113.4023115,676.92,344,256,78.17,2532
29.441885,-120.516744,10417.31,718.688,52,913,668
442760086,-940902735,4,182,-234,103,4725
38.00006401,126.0407817,36,586,-57.96428571,9.186381842,395.5
30.254656,-120.516792,10418.26,628.6313,-12,915,594
53.59799912,-113.6309103,764.99,224,47.9,81.52,1932
37.41336701,128.7566954,62,1303,-342.7857143,7.817512658,945.5
19.352134,-120.51696,4479.1,1835.41,87,896,1718
27.117146,-120.517148,5762.22,975.9486,49,897,890
39.48372398,125.5448503,408,1000,-73.5,9.111716251,425.5
19.402711,-120.516805,4744.82,1829.833,-59,915,1712
25.943077,-120.516866,845.67,1105.765,72,919,1044
442760086,-940902739,1,144,-234,135,1560
442760086,-940902736,3,171,-230,152,4235
442760086,-940902738,6,138,-231,116,1750
442760087,-940902738,4,123,-228,170,1930
38.97618764,126.0838568,1009,586,-49.67857143,9.226203491,379.5
442760087,-940902744,6,161,-232,100,435
442760087,-940902736,2,135,-231,180,2200
24.632915,-120.5169,6068.05,1251.138,-41,903,1216
442760087,-940902737,2,176,-232,186,2420
53.40886166,-113.5605326,734.25,336,348.3,84.85,1788
23.866274,-120.517237,8315.23,1336.076,-35,906,1292
33.246655,-118.588272,7928.47,217.6032,-15,903,244
25.020766,-120.516787,4461.35,1208.144,79,918,1174
442760088,-940902744,4,154,-234,158,385
24.83979,-120.516819,5194.87,1228.201,10,894,1194
37.03446137,125.9629379,238,728,-280.6428571,8.116175026,825.5
442760087,-940902737,6,105,-233,166,2575
29.728395,-120.51728,10420.98,686.9445,27,894,642
53.36991868,-113.4072231,749.69,325,290.6,66.37,2259
39.49767434,124.1356895,1060,710,-167.75,8.658744993,607.5
53.4660683,-113.7261112,737.42,212,356.1,80.74,1395
53.6414609,-113.5568156,727.16,360,18.2,60.06,1341
53.6450246,-113.2790739,644.55,346,253.5,67.72,1356
53.66630642,-113.3659948,705.52,243,270.1,84.83,2880
53.48803348,-113.7763533,749.03,226,297.5,79.52,621
442760087,-940902737,5,107,-233,169,3275
442760086,-940902742,4,157,-228,158,1095
53.5900624,-113.6301764,730.44,389,351.1,69.63,477
39.40167,127.5369,195,586,-36,15,111.5
442760086,-940902736,1,148,-233,133,4325
442760086,-940902738,3,141,-230,174,1855
37.13417509,125.0373298,52,1347,-496.0714286,7.080812152,1241.5
442760088,-940902737,4,136,-232,155,2985
442760087,-940902737,5,122,-233,159,3270
29.134669,-120.516887,10415.66,752.7001,77,888,696
18.32855,-120.517768,178.75,1948.551,39,898,1856
442760087,-940902737,2,135,-232,149,2425
29.178393,-120.516755,10416.82,747.8616,2,883,692
53.67159226,-113.3333435,703.04,350,184.5,62.54,1257
442760087,-940902736,4,160,-232,179,3850
38.54259455,127.6312501,885,1201,-542.6785714,6.856815376,1331.5
38.55772938,125.1866477,303,1098,-239.2142857,8.315283271,745.5
442760086,-940902739,6,124,-231,132,1640
53.50966155,-113.7411649,735.24,262,268.5,66.73,2934
37.11109688,125.8098994,455,799,-759.1428571,5.816474797,1749.5
38.48050523,125.4186802,698,756,-717.7142857,6.015583042,1669.5
53.37523016,-113.5917782,722.29,380,352.3,95.11,1527
53.42848918,-113.3195788,748.91,262,180.1,60.98,732
53.61227943,-113.3058095,630.64,374,39.8,66.07,63
442760086,-940902740,3,172,-233,178,1430
53.51610037,-113.7311632,745.63,293,269.8,79.92,225
38.44210927,127.9939176,1199,679,-734.2857143,5.935939744,1701.5
39.96188562,127.9768929,672,586,16.60714286,9.544776683,251.5
53.4125309,-113.4927269,710.76,349,359.1,86.81,1461
442760087,-940902736,5,139,-235,167,3420
38.17498811,124.2418409,498,490,-44.5,9.251092022,369.5
34.657189,-117.917442,2887.87,40.79297,-82,909,64
53.40511939,-113.413206,761.52,269,90.9,75.36,888
53.64205574,-113.2669864,637.63,276,67.6,79.66,1806
17.75466,-120.517115,2726.36,2012.122,-85,916,1938
53.65923416,-113.277101,649.19,236,95.3,84.83,801
39.43633441,126.2796061,749,,-5.142857143,9.440244855,293.5
38.86586922,124.55571,1063,732,-586.1785714,6.647751719,1415.5
24.985084,-120.516775,4611.18,1212.097,-75,918,1178
39.8052941,125.5680562,66,912,-752.9285714,5.846341033,1737.5
37.36169904,125.2930942,743,1017,-244.3928571,8.29039474,755.5
442760087,-940902737,4,153,-234,130,3260
38.31597212,124.2208034,496,967,23.85714286,9.579620626,237.5
25.638329,-120.51703,1104.25,1139.527,30,908,1092
33.314727,-118.494531,7626.14,206.0327,51,891,234
442760087,-940902737,4,114,-234,170,3350
32.52263,-119.53082,9908.4,337.0027,74,914,348
53.48188329,-113.6241854,670.03,340,348.7,54.06,1305
29.838431,-120.516748,10421.91,674.7522,-25,890,632
53.3892803,-113.4433708,736.64,329,90.1,73.34,765
39.71071372,124.1857006,1125,504,-549.9285714,6.821971434,1345.5
442760087,-940902737,4,123,-230,146,2100
39.94019047,127.3808526,423,1364,-388.3571429,7.598493589,1033.5
38.64213232,126.9494609,605,1346,-660.75,6.289356878,1559.5
53.37416198,-113.4660732,756.82,392,278.7,79.28,2604
442760086,-940902741,3,168,-231,143,1255
38.70068929,124.1713088,88,1184,-475.3571429,7.180366275,1201.5
442760087,-940902736,1,117,-235,146,3415
442760087,-940902736,6,158,-231,182,2220
32.761136,-119.223406,9550.39,297.8187,-23,901,314
34.375756,-118.113784,4280.88,77.04962,12,915,106
38.25760889,128.6188599,1383,1244,-425.6428571,7.419296168,1105.5
53.63246761,-113.5522171,720.08,261,9.5,86.73,2349
53.43165669,-113.3008364,777.54,318,292,98.8,2196
18.444428,-120.516949,176.83,1935.705,-72,903,1838
53.44035144,-113.6898888,728.61,204,181.7,71.75,444
442760087,-940902738,6,155,-230,107,1875
53.59189078,-113.6844751,697.6,348,81,87.51,324
442760087,-940902736,3,149,-233,107,3825
53.65173531,-113.4748908,703.13,226,89.1,83.6,2856
53.65572611,-113.4755965,705.58,290,85.2,79.12,2565
53.65270856,-113.5269151,704.98,244,185,72.16,2268
37.36683977,125.7048026,1358,904,-597.5714286,6.592996952,1437.5
53.39563653,-113.3045868,771.32,388,270.9,70.5,1629
38.37877991,127.3896149,1225,500,-22.75,9.355623851,327.5
442760087,-940902742,2,140,-233,102,895
442760087,-940902736,2,193,-233,172,3445
29.222149,-120.516762,10421.56,743.0186,-81,916,688
18.2086,-120.516991,183.6,1961.821,51,913,1874
53.36845084,-113.3070375,764.18,280,306.6,85.26,1845
53.6060084,-113.589065,705.84,284,280.4,87.18,387
442760087,-940902737,2,164,-234,168,3315
17.439946,-120.517233,4156.35,2047.085,4,895,1976
442760087,-940902737,2,200,-233,180,3185
32.103726,-120.064509,10419.27,405.5393,87,895,406
442760088,-940902737,3,149,-232,151,2975
25.474067,-120.517174,2305.34,1157.744,-75,904,1116
38.39484508,128.6057272,461,700,-53.82142857,9.206292667,387.5
53.40821162,-113.5023554,710.53,323,201.6,72.11,1785
53.64999594,-113.4569654,702.57,287,272.5,68.77,1653
53.66712406,-113.5267709,728.27,368,0.4,73.35,1734
18.143865,-120.516819,180.99,1968.952,-58,912,1884
39.51377734,126.0535436,386,586,8.321428571,9.504955034,267.5
30.947103,-120.516789,10417.07,551.9123,-73,912,530
20.216852,-120.516988,8994.89,1739.985,-5,916,1626
27.517637,-120.51713,8000.64,931.6501,-35,890,848
18.785524,-120.517123,1319.97,1898.064,7,918,1790
53.38244101,-113.2967186,782.42,283,4.2,66.7,2490
37.06896241,128.9070444,498,1081,-533.3571429,6.901614732,1313.5
442760085,-940902735,6,166,-231,148,4825
53.40668628,-113.6800076,714.54,348,90.1,83.72,2256
33.080973,-118.807334,8594.47,245.1116,-62,907,268
39.1677,127.4817,195,586,-63,6,161.5
30.057948,-120.51679,10420.34,650.4299,55,903,612
38.61116569,125.4616468,464,1336,-749.8214286,5.861274152,1731.5
32.788904,-119.187636,9467.01,293.2596,1,881,310
27.944994,-120.517273,10223.16,884.4176,76,917,806
38.81383963,125.7372716,1130,1305,-191.5714286,8.544257752,653.5
37.28366363,126.9079842,1126,625,-119.0714286,8.892697181,513.5
53.45561788,-113.7633605,736.59,399,111.9,75.89,2514
53.38711147,-113.3588606,749.34,305,282.9,65.82,2676
18.998447,-120.516768,2546.35,1874.487,27,893,1762
442760087,-940902738,1,115,-231,170,1900
18.419047,-120.517043,175.85,1938.521,77,912,1842
39.1677,127.4817,195,500,76,5,89.5
39.82854618,126.5590399,57,1249,-462.9285714,7.240098748,1177.5
39.53095151,127.7477488,1075,620,-721.8571429,5.995672217,1677.5
19.773831,-120.516733,6813.28,1788.817,-70,920,1670
442760087,-940902736,4,120,-231,188,2260
28.59183,-120.516703,10418.53,812.8077,16,908,746
53.64858722,-113.4751607,695.53,206,270.9,70.91,1599
32.422425,-119.659393,10041.12,353.4402,44,911,362
442760087,-940902737,1,123,-234,111,2850
53.51711623,-113.7742794,749.97,287,181.5,91.47,906
53.38624258,-113.3695358,748.91,310,181.2,59.41,2364
32.089253,-120.083072,10414.1,407.9225,77,904,408
23.657582,-120.517205,8793.67,1359.186,3,915,1312
53.51017582,-113.6547389,739.1,389,37,94.34,2904
39.76774289,128.8480484,1286,1210,-293.0714286,8.056442552,849.5
26.035059,-120.517322,840.41,1095.565,-73,918,1030
442760086,-940902737,4,183,-229,147,4285
38.45005872,125.1940711,1114,1143,-123.2142857,8.872786357,521.5
33.260451,-118.569798,7866.88,215.2957,13,903,242
30.904142,-120.516946,10416.34,556.6704,-34,903,534
53.37273303,-113.3055559,773.42,315,130.9,68.03,1155
38.1264699,128.3457892,634,932,-225.75,8.37999345,719.5
442760087,-940902744,1,188,-234,164,625
442760087,-940902745,1,175,-231,142,480
53.41077141,-113.4213256,759.57,258,272.7,75.57,1206
53.37754932,-113.4130397,734.08,228,269.1,70.11,780
53.44628314,-113.671018,724.84,335,266.9,77.2,975
442760087,-940902738,2,124,-231,114,1785
53.64856885,-113.5116669,694.82,316,123.9,63.52,2091
442760088,-940902745,3,110,-232,186,290
442760085,-940902735,6,178,-230,151,4895
39.27792796,127.2151639,1336,987,-643.1428571,6.373977882,1525.5
53.40429004,-113.4154926,747.95,281,268,72.29,1719
38.77930162,125.9478655,779,673,-523,6.951391793,1293.5
53.52891582,-113.7212266,737.12,394,267,71.46,1239
39.38499166,128.9213347,395,591,-325.1785714,7.902133662,911.5
34.631843,-118.15498,1109.23,4.95063,-7,898,12
53.47121926,-113.7618064,745.62,399,288.2,60.34,798
442760086,-940902738,3,129,-231,190,1780
442760086,-940902742,3,190,-229,160,1065
442760087,-940902743,1,158,-234,124,680
20.878078,-120.516848,10388.67,1666.837,-31,892,1566
37.27367803,125.8586537,371,457,-2.035714286,9.455177973,287.5
53.60910757,-113.2767131,676.5,355,29.6,79.51,261
37.44374552,125.9449324,873,0,-85.92857143,9.051983777,449.5
442760087,-940902737,4,155,-233,127,3115
21.07703,-120.516777,10391.67,1644.827,51,906,1548
38.75148205,127.5496248,1353,280,34.21428571,9.629397687,217.5
30.385355,-120.516692,10419.44,614.1569,-15,896,582
53.49534022,-113.7502647,731.2,322,25.9,72.32,201
39.49007588,128.2990695,148,1000,-81.78571429,9.071894602,441.5
442760086,-940902738,5,111,-230,100,1735
53.39178837,-113.4234498,744.06,338,265.3,74.32,2754
53.38945381,-113.4388024,737.38,377,183.9,70.29,1830
29.860416,-120.516821,10422.56,672.3188,81,882,630
442760086,-940902740,6,136,-233,177,1425
442760086,-940902735,5,193,-231,143,4965
53.71388255,-113.3772704,688.68,229,201.4,69.73,663
39.36968594,126.9591918,400,920,-192.6071429,8.539280046,655.5
37.9459655,128.1698531,1147,586,-40.35714286,9.271002847,361.5
23.928421,-120.517207,8151.25,1329.2,69,895,1286
22.154169,-120.516817,10391.07,1525.618,71,887,1450
53.68278746,-113.303811,668.29,392,114.6,94.64,2394
442760087,-940902737,2,121,-231,159,2070
53.40845995,-113.3328833,777.81,290,284.8,59.03,1008
40.0368,128.1839,189,60,28,9,207.5
39.6596,124.7057,260,1000,22,11,197.5
39.68948132,127.4472321,1111,500,-34.14285714,9.300869083,349.5
38.87854451,127.5081672,254,937,-792.2857143,5.657188201,1813.5
53.49315327,-113.3358139,739.03,346,273,71.85,330
37.81090659,127.5488823,881,586,3.142857143,9.480066504,277.5
53.46817056,-113.7537662,740,351,188.3,41.96,2280
18.483572,-120.517103,175.01,1931.406,-11,891,1832
442760087,-940902744,6,180,-233,108,565
33.819155,-118.366259,6419.77,147.0769,-46,912,180
38.34592121,125.3899989,1265,1294,-159.4642857,8.698566642,591.5
38.84114352,126.8417941,285,663,-147.0357143,8.758299116,567.5
37.8850575,128.4762954,814,895,-216.4285714,8.424792806,701.5
53.40964877,-113.3127362,773.3,270,85.9,72.33,1407
53.41657428,-113.3831648,792.13,293,82.2,69.36,2427
25.211185,-120.517028,3723.98,1186.983,-19,920,1152
34.418168,-118.083404,3962.47,71.58982,86,916,100
37.29544299,125.3604375,243,1182,-120.1071429,8.887719475,515.5
53.37160351,-113.3026481,775.72,230,176.9,70.25,1389
39.05295116,124.6843817,822,1141,-469.1428571,7.210232511,1189.5
53.45521968,-113.615544,702.93,299,303.7,73.48,2082
38.5477163,128.311979,779,694,-291,8.066397965,845.5
37.74223655,126.5868671,619,1146,-676.2857143,6.214691286,1589.5
442760087,-940902736,5,184,-237,162,2875
53.45769757,-113.763668,749.83,230,177.7,72.19,828
53.52456639,-113.7349307,744.62,393,291.8,65.66,33
53.71560415,-113.3513323,712.72,337,88.6,86.5,258
442760087,-940902743,1,137,-235,188,765
